School_ID;Name;Places_19_20;Reg_19_20;Reg_ESB_19_20;Aufnahme_19_20;Ablehnung_19_20;Places_20_21;Reg_20_21;Reg_ESB_20_21;Aufnahme_20_21;Ablehnung_20_21
06G20;Alt-Lankwitzer-Grundschule;78;97;54;54;;75;76;47;47;
06G21;Paul-Schneider-Grundschule;100;85;78;78;;100;75;64;64;
06G22;Giesensdorfer-Grundschule;78;80;57;57;;75;62;41;41;
06G23;Kronach-Grundschule;70;84;65;65;;79;106;69;69;
06G24;Grundschule unter den Kastanien;78;98;67;67;;78;89;61;61;
06G25;Clemens-Brentano-Grundschule;78;82;42;42;;104;95;35;35;
06G26;Käthe-Kruse-Grundschule;74;84;61;61;;55;53;34;34;
06G27;Grundschule am Königsgraben;72;117;73;73;;82;117;72;72;
06G28;Ludwig-Bechstein-Grundschule;72;41;43;43;;50;52;46;46;
06G29;Grundschule am Karpfenteich;78;100;44;44;;83;109;57;57;
06G30;Mercator-Grundschule;44;44;35;35;;63;57;57;57;
06G31;Grundschule an der Bäke;78;54;46;46;;65;41;37;37;
06G32;Grundschule am Stadtpark Steglitz;100;108;83;83;;75;83;65;65;
06G33;Friedrich-Drake-GS;52;66;39;39;;52;51;32;32;
06G34;34. Grundschule;50;50;32;32;;50;72;33;33;
06S01;Pestalozzi-Schule;20;25;;;;20;28;;;
07G01;Spreewald-Grundschule;60;49;27;27;;85;158;37;37;
07G02;Finow-Grundschule;50;31;25;25;;25;68;16;16;
07G02;Finow-Grundschule - (SESB);52;71;1;1;;75;68;12;10;2
07G03;Werbellinsee-Grundschule;82;50;42;42;;72;96;55;55;
07G05;Havelland-Grundschule;76;72;67;67;;87;89;48;48;
07G06;Sternberg-Grundschule;49;33;25;25;;48;99;33;33;
07G07;Lindenhof-Grundschule;64;54;41;41;;70;90;49;49;
07G10;Teltow-Grundschule;77;57;46;46;;89;152;53;53;
07G12;Scharmützelsee-Grundschule;75;48;40;40;;75;84;38;38;
07G13;Neumark-Grundschule;75;50;25;25;;100;127;51;51;
07G14;Löcknitz-Grundschule;52;41;38;38;;52;76;47;47;
